Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Zack Littell","TBR",9,8,,4.26926,41,24,0,1,153,646,154,78,73,23,40,,6,125,7.32033,2.33717,3.13214,1.33358,0.193062,0.0616391,0.13142289593815804,0.256328,1.2631,0.289614,0.712304,,,4.44983,1.1504,1.33601,339.6499938964844,,,,"15823"
"Aroldis Chapman","PIT",4,4,,3.3181,64,0,5,11,64,270,46,26,24,7,35,,2,97,13.6497,4.99172,2.73446,1.03182,0.358969,0.131276,0.22769325971603394,0.19606,1.26838,0.298184,0.779431,,,3.46578,1.14214,1.3582,346.42999267578125,,,,"10233"
"John Means","BAL",8,8,,4.37232,31,23,0,1,129,540,128,67,63,21,32,,5,100,6.96005,2.23558,3.11332,1.47051,0.184751,0.0593421,0.12540853023529053,0.255021,1.24237,0.280518,0.71281,,,4.69714,1.13064,1.26507,373.7300109863281,,,,"16269"
"Jhony Brito","SDP",9,9,,4.22589,54,18,0,1,131,559,129,66,61,17,41,,6,104,7.18507,2.82627,2.54225,1.18533,0.187007,0.0735598,0.11344750225543976,0.253065,1.30274,0.287885,0.711696,,,4.45674,1.11381,1.11218,481.9100036621094,,,,"25386"
"Cal Quantrill","COL",7,11,,5.4641,28,28,0,0,155,688,179,101,94,26,52,,9,99,5.7846,3.00819,1.92295,1.52152,0.144359,0.0750718,0.0692874938249588,0.285994,1.49512,0.305428,0.67131,,,5.34694,1.10626,1.44512,692.0999755859375,,,,"19312"
"Jared Jones","PIT",6,7,,4.59491,27,21,0,1,116,507,114,64,59,15,47,,8,100,7.81209,3.61973,2.1582,1.19289,0.198072,0.0917765,0.10629544407129288,0.250603,1.38319,0.291165,0.695611,,,4.64536,1.09955,1.24556,999,,,,"27863"
"Erick Fedde","CHW",8,11,,5.0026,26,26,0,0,144,630,153,86,80,26,52,,4,121,7.58245,3.2179,2.35633,1.59574,0.192719,0.0817876,0.11093127727508545,0.266138,1.41814,0.297873,0.700792,,,5.03451,1.09325,0.792965,357.2799987792969,,,,"17425"
"Chris Flexen","CHW",6,10,,5.00794,34,23,0,1,141,622,153,84,78,23,51,,4,107,6.82919,3.27923,2.08256,1.46365,0.171701,0.0824469,0.08925376832485199,0.269338,1.44834,0.296906,0.697748,,,5.03576,1.0699,0.734957,715.260009765625,,,,"13896"
"Hunter Harvey","WSN",4,3,,3.73727,64,0,13,8,64,264,56,29,27,8,19,,2,70,9.87513,2.70528,3.65032,1.10662,0.265605,0.0727622,0.19284304976463318,0.23138,1.1783,0.293316,0.724356,,,3.67215,1.05951,0.978163,256.6000061035156,,,,"15507"
"Ryan Pepiot","TBR",8,7,,4.2048,33,23,0,1,133,569,119,67,62,19,53,,8,137,9.29136,3.58173,2.5941,1.30153,0.241498,0.093095,0.14840292930603027,0.234173,1.29157,0.283814,0.72582,,,4.44692,1.05753,1.35055,187.75999450683594,,,,"26221"
