Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Juan Guerrero","COL",0.25,1,0.9282,0.219,0.1575,0.0394,0.0046,0.0176,0.0968,0.0952,0.048,0,0.1808,0.01,0.0075,0.0063,,0.0149,0.0063,0.235941,0.048,0.1808,0.265487,0.278756,0.345292,0.272875,0.624048,0.109351,4.53425,0.273159,0,-0.00133955,0.0840565,-0.0377877,53.1147,-0.00133955,0,-0.05942335200961679,-0.012000000104308128,-0.00372475,999,,,,"sa3008759"
"Moises Ballesteros","CHC",0.25,1,0.8978,0.1949,0.1395,0.0342,0.0018,0.0195,0.0963,0.0914,0.0804,0.003,0.2182,0.008,0.0075,0.0063,,0.0066,0.0027,0.217086,0.0804,0.2182,0.368469,0.285096,0.32446,0.269734,0.609556,0.107374,3.25223,0.262732,0,-0.00155249,0.0814476,-0.0403965,66.9228,-0.00155249,0,-0.042530183447524905,-0.028999999165534973,-0.0037354,999,,,,"sa3015713"
"Wilfred Astudillo","CIN",0.25,1,0.9329,0.1709,0.1279,0.0244,0.0018,0.0168,0.0803,0.0812,0.0423,0.001,0.228,0.011,0.0075,0.0063,,0.0107,0.0044,0.183192,0.0423,0.228,0.185526,0.225621,0.267231,0.218035,0.492853,0.084039,3.89228,0.221535,0,-0.00110561,0.038512,-0.0833322,26.191,-0.00110561,0,-0.09254388511180878,0.020999999716877937,-0.00373677,999,,,,"sa3003236"
"Yolbert Sanchez","ATL",0.25,1,0.9223,0.2298,0.1821,0.0367,0.0027,0.0082,0.0984,0.0873,0.0549,0,0.1807,0.009,0.0075,0.0063,,0.0116,0.0052,0.24916,0.0549,0.1807,0.303818,0.295562,0.32137,0.273488,0.616933,0.0722108,3.78044,0.299096,0,-0.00177027,0.0845652,-0.037279,67.0631,-0.00177027,0,-0.0425740898353979,-0.028999999165534973,-0.00373978,999,,,,"sa3011471"
"Luis Durango","CLE",0.25,1,0.9098,0.1626,0.1246,0.0227,0.0019,0.0134,0.0804,0.0746,0.0634,0,0.2574,0.013,0.0075,0.0063,,0.0208,0.0084,0.178721,0.0634,0.2574,0.246309,0.240515,0.252033,0.222996,0.492549,0.0733128,4.40879,0.230781,0,-0.000934185,0.042632,-0.0792122,37.7182,-0.000934185,0,-0.0755608172621578,0.004000000189989805,-0.00374901,999,,,,"sa3015232"
"Trendon Craig",,0.25,1,0.9068,0.1799,0.1357,0.0286,0.0025,0.0131,0.0871,0.0787,0.0694,0.001,0.2917,0.01,0.0075,0.0063,,0.0234,0.0098,0.19839,0.0694,0.2917,0.237916,0.260944,0.278783,0.242135,0.539726,0.0803926,4.68492,0.273667,0,-0.00110603,0.0585267,-0.0633174,51.1757,-0.00110603,0,-0.05960776726715267,-0.012000000104308128,-0.00375369,999,,,,"sa3017181"
"Seth Stephenson","DET",0.25,1,0.9141,0.1868,0.1394,0.0314,0.0043,0.0117,0.0876,0.0782,0.0531,0,0.2702,0.019,0.0075,0.0063,,0.0414,0.0158,0.204354,0.0531,0.2702,0.196521,0.260541,0.286511,0.244561,0.547053,0.0821573,5.76941,0.273722,0,-0.0000184662,0.0605416,-0.0613026,50.2668,-0.0000184662,0,-0.05960920077995979,-0.012000000104308128,-0.00375384,999,,,,"sa3020495"
"Antoni Flores",,0.25,1,0.9042,0.1679,0.1282,0.0282,0.0025,0.009,0.0805,0.0708,0.07,0.001,0.2595,0.012,0.0075,0.0063,,0.0104,0.0043,0.185689,0.07,0.2595,0.26975,0.251484,0.252267,0.228572,0.503752,0.0665782,3.97026,0.247046,0,-0.00134685,0.0472628,-0.0745814,38.9713,-0.00134685,0,-0.07571207580622286,0.004000000189989805,-0.00375882,999,,,,"sa3005489"
"Darlin Moquete","STL",0.25,1,0.9219,0.1829,0.1294,0.027,0.0023,0.0242,0.0926,0.096,0.0543,0,0.2354,0.01,0.0075,0.0063,,0.012,0.005,0.198395,0.0543,0.2354,0.230671,0.248767,0.311422,0.24649,0.560189,0.113027,3.93361,0.236936,0,-0.00120287,0.0621434,-0.0597008,52.7129,-0.00120287,0,-0.05978448560927063,-0.012000000104308128,-0.00376076,999,,,,"sa3005617"
"Otto Kemp","PHI",0.25,1,0.904,0.1676,0.1248,0.0285,0.0031,0.0112,0.0833,0.0741,0.0682,0.001,0.2807,0.014,0.0075,0.0063,,0.0142,0.0059,0.185398,0.0682,0.2807,0.242964,0.251384,0.260951,0.231516,0.512335,0.0755531,4.30593,0.252421,0,-0.00123752,0.0497075,-0.0721366,39.8103,-0.00123752,0,-0.07580343319568783,0.004000000189989805,-0.00376265,999,,,,"sa3020577"
"Lyonell James",,0.25,1,0.9252,0.1804,0.1385,0.0275,0.002,0.0123,0.081,0.0778,0.049,0,0.2008,0.012,0.0075,0.0063,,0.0077,0.0032,0.194985,0.049,0.2008,0.244024,0.24293,0.268807,0.228474,0.511737,0.0738219,3.52776,0.233602,0,-0.00134782,0.0471808,-0.0746633,38.9041,-0.00134782,0,-0.07579498435370624,0.004000000189989805,-0.00376709,999,,,,"sa3015524"
"Francisco Del Valle",,0.25,1,0.9122,0.1762,0.1199,0.0304,0.0026,0.0232,0.0919,0.0922,0.063,0,0.2673,0.011,0.0075,0.0063,,0.0102,0.0042,0.193159,0.063,0.2673,0.23569,0.251786,0.308375,0.247588,0.560162,0.115216,4.03056,0.243166,0,-0.00122675,0.0630557,-0.0587884,51.932,-0.00122675,0,-0.059799009934067726,-0.012000000104308128,-0.00376749,999,,,,"sa918323"
"Yoelqui Céspedes","CHW",0.25,1,0.9097,0.1932,0.1275,0.0411,0.0018,0.0228,0.095,0.0933,0.0585,0.001,0.3188,0.018,0.0075,0.0063,,0.02,0.0084,0.212378,0.0585,0.3188,0.183501,0.27141,0.336704,0.267192,0.608114,0.124327,4.36173,0.296039,0,-0.0011096,0.079337,-0.0425072,65.2431,-0.0011096,0,-0.042755640228278935,-0.028999999165534973,-0.00376844,999,,,,"sa3015137"
"Vincent Perozo","NYM",0.25,1,0.9221,0.1461,0.1046,0.0235,0.0015,0.0165,0.0749,0.0738,0.0511,0,0.3469,0.013,0.0075,0.0063,,0.0062,0.0025,0.158443,0.0511,0.3469,0.147305,0.211533,0.240863,0.203242,0.452396,0.0824206,3.48874,0.228894,0,-0.00111505,0.0262257,-0.0956185,25.941,-0.00111505,0,-0.09286295913625509,0.020999999716877937,-0.00376859,999,,,,"sa3015188"
"Lazaro Armenteros","OAK",1.62,6.5682,5.7736,1.1547,0.7174,0.2275,0.0293,0.1805,0.6561,0.6268,0.6187,0.0066,2.5531,0.0854,0.0493,0.0412,,0.1444,0.0616,0.199997,0.0941963,0.388706,0.242333,0.284786,0.343339,0.27786,0.628125,0.143342,5.02902,0.315347,-0.001,-0.00802199,0.579292,-0.221005,78.2766,-0.00902199,0,-0.17998701706528664,-0.08100000023841858,-0.00377943,999,,,,"sa969091"
"Benny Montgomery","COL",0.25,1,0.9126,0.205,0.1455,0.0362,0.003,0.0203,0.0969,0.094,0.0636,0,0.2867,0.01,0.0075,0.0063,,0.0138,0.0056,0.224633,0.0636,0.2867,0.221835,0.280366,0.337607,0.272056,0.617973,0.112974,4.1667,0.301256,0,-0.00129183,0.0833766,-0.0384676,52.5659,-0.00129183,0,-0.060055534821003675,-0.012000000104308128,-0.00378779,999,,,,"sa3017169"
