Rk.,Player,Year,Pitches,Total,Pitch %,PA,Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),wOBA,xwOBA,BABIP,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),xWOBA/Average xWOBA of Year
67,"Lyles, Jordan RHP",2022,949,2988,31.8,243,5.9 ARM,17.1,0.391,0.414,0.298,18.7,91.8,92.6,2204,6.12,-1.63,6.8,1.247093763
54,"Anderson, Tyler LHP",2022,979,2576,38,210,7.5 ARM,18,0.336,0.342,0.299,18.6,90.7,90.4,2231,6.14,1.68,6.1,1.030207891
46,"Garcia, Luis RHP",2022,1038,2468,42.1,289,7.5 ARM,18,0.374,0.361,0.303,18.2,94,93.5,2408,6.29,-1.49,6.1,1.087441663
26,"Verlander, Justin RHP",2022,1315,2607,50.4,317,9.5 ARM,19.2,0.241,0.299,0.212,18.1,95,94.2,2423,7,-1.52,6.1,0.900678829
32,"Anderson, Ian RHP",2022,962,2005,48,231,5.9 ARM,16.7,0.373,0.382,0.325,18.1,94,94.9,1938,6.24,-1.5,6.9,1.150700042
62,"Keller, Brad RHP",2022,804,2275,35.3,226,2.5 GLV,13,0.302,0.299,0.299,18.1,94.5,94.4,2409,6.26,-1.5,6,0.900678829
39,"Bradish, Kyle RHP",2022,886,1993,44.5,229,1.3 GLV,16.1,0.412,0.397,0.345,17.5,94.6,95.3,2305,6.4,-1.7,6.6,1.195884599
25,"Gray, Jon RHP",2022,1042,2062,50.5,267,11.4 ARM,12.7,0.332,0.342,0.322,17.4,95.9,96.2,2016,5.47,-1.97,6.5,1.030207891
52,"Gray, Josiah RHP",2022,1011,2597,38.9,233,10.0 ARM,17.8,0.475,0.427,0.223,17,94.4,92.7,2216,5.49,-1.48,5.6,1.286253712
28,"Kaprielian, James RHP",2022,1091,2230,48.9,273,7.6 ARM,15.6,0.357,0.377,0.263,16.6,94,93.4,2007,6.15,-2.54,6.1,1.135638524
48,"Bundy, Dylan RHP",2022,865,2180,39.7,219,4.5 ARM,19.3,0.343,0.343,0.253,16.6,89,88.2,2352,6.11,-1.68,5.9,1.033220195
29,"Gausman, Kevin RHP",2022,1358,2783,48.8,342,10.5 ARM,17.4,0.364,0.358,0.393,16.3,95,94.9,2265,6.03,-2.26,6.4,1.078404752
56,"Gonzales, Marco LHP",2022,1037,2838,36.5,272,12.2 ARM,14.7,0.339,0.368,0.242,15.6,88.5,88.7,1986,5.7,2.01,6.4,1.10852779
49,"Flexen, Chris RHP",2022,869,2204,39.4,221,2.3 ARM,19,0.4,0.396,0.309,15.4,91.7,90.9,2132,6.96,-0.86,6,1.192872295
69,"Márquez, Germán RHP",2022,851,2839,30,215,9.0 ARM,13.3,0.406,0.361,0.336,15.3,95.6,94.4,2138,5.99,-2.17,5.5,1.087441663
63,"Bieber, Shane RHP",2022,990,2875,34.4,246,8.5 ARM,17.6,0.34,0.38,0.331,15.1,91.3,91.9,2206,5.6,-1.24,6.7,1.144675435
3,"Adon, Joan RHP",2022,789,1204,65.5,208,10.7 ARM,15,0.409,0.414,0.321,15,95,94.7,2186,6.04,-2.52,6.4,1.247093763
66,"Fried, Max LHP",2022,915,2818,32.5,259,1.7 ARM,12.3,0.301,0.312,0.272,14.8,94,94.4,2139,6.09,1.21,6.4,0.9398387781
43,"Plesac, Zach RHP",2022,924,2153,42.9,214,7.4 ARM,18.8,0.384,0.414,0.293,14.7,91.9,91.6,2148,6.24,-0.27,6.2,1.247093763
36,"Heasley, Jonathan RHP",2022,829,1796,46.2,216,8.2 ARM,19,0.404,0.374,0.275,13.8,93.4,92.8,2322,6.09,-1.45,6.3,1.126601612
13,"Senzatela, Antonio RHP",2022,828,1521,54.4,213,3.4 ARM,11,0.446,0.376,0.413,12.6,94.2,94.3,2133,6.08,-2.19,6.1,1.13262622
12,"Pallante, Andre RHP",2022,955,1753,54.5,266,3.6 ARM,9,0.326,0.306,0.324,12.2,95.2,95.5,2221,5.82,-1.93,6.6,0.9217649555
30,"Espino, Paolo RHP",2022,899,1873,48,236,2.9 ARM,19,0.355,0.379,0.297,12.2,88.5,88.8,2228,5.81,-1.53,6.5,1.11600155
42,"Lynn, Lance RHP",2021,1051,2608,40.3,238,6.0 ARM,14.9,0.241,0.236,0.271,32.5,94,94.2,2407,5.62,-3.07,6.3,0.6949244479
22,"Peralta, Freddy RHP",2021,1218,2356,51.7,310,7.0 ARM,16.5,0.267,0.28,0.211,30.9,93.4,94.2,2370,5.06,-2.59,7.1,0.8244866331
12,"Scherzer, Max RHP",2021,1317,2821,46.7,299,10.6 ARM,16,0.273,0.285,0.246,30.8,94.3,94.1,2436,5.56,-3.22,6.2,0.8392096087
54,"Woodruff, Brandon RHP",2021,947,2810,33.7,260,6.3 ARM,16.6,0.264,0.283,0.324,30.5,96.5,96.4,2356,5.9,-1.43,6.5,0.8333204185
16,"Rodón, Carlos LHP",2021,1302,2219,58.7,301,7.9 ARM,17.6,0.264,0.279,0.26,29.7,95.4,95,2293,6.65,1.99,6.1,0.821542038
26,"Taillon, Jameson RHP",2021,1174,2372,49.5,306,3.4 ARM,17.9,0.285,0.293,0.236,28,93.9,94.6,2419,6.13,-1.58,6.7,0.8627663696
11,"Heaney, Andrew LHP",2021,1338,2330,57.4,287,15.3 ARM,15.2,0.367,0.328,0.319,27.8,92,91.5,2443,5.25,3.42,6.2,0.9658271988
40,"Kaprielian, James RHP",2021,1069,2024,52.8,276,8.5 ARM,15.3,0.35,0.331,0.304,27.8,93,92.5,2035,6.01,-2.5,6,0.9746609841
7,"Cole, Gerrit RHP",2021,1399,2969,47.1,312,12.0 ARM,18,0.283,0.295,0.297,27.6,97.7,97.9,2452,5.68,-1.92,6.6,0.8686555599
2,"Mahle, Tyler RHP",2021,1695,3196,53,389,12.1 ARM,17.1,0.335,0.306,0.344,27,94,94.5,2336,5.6,-1.77,6.6,0.9010461062
18,"Rogers, Trevor LHP",2021,1251,2169,57.7,325,11.1 ARM,14.8,0.3,0.305,0.326,26.8,94.5,94.8,2375,5.87,2.2,6.6,0.8981015111
41,"Javier, Cristian RHP",2021,1065,1792,59.4,271,7.9 ARM,18,0.345,0.4,0.264,26.4,93.5,92.8,2341,5.6,-1.52,6,1.177838047
