"last_name, first_name","player_id","year","woba","xwoba","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break"
"Musgrove, Joe","605397","2021",".284",".304","20.3","93.3","2600","-5","-18.6","14","27.8","84.1","2784","14","-40.5","14.3","4.8","87.1","2069","-9.2","-31.5","10.8","23.8","82.1","2808","11","-54.7","17.7","5.1","93.2","2471","-10.5","-24.8","12.8","18.2","90.6","2633","1.7","-24.9","8.7",,,,,,,,,,,,
"Nola, Aaron","605400","2021",".297",".283","37.5","92.9","2198","-13.3","-17.6","19.5",,,,,,,"19.8","85.2","1511","-15","-35.6","15.5","27","78.5","2529","14.6","-55.1","17.9","14.1","92","2137","-17.5","-23.5","19.7","1.5","86.7","2179","1","-28.7","7.8",,,,,,,,,,,,
"Snell, Blake","605483","2021",".305",".335","52.5","95.1","2399","5.7","-11.6","19.8","24.4","86.5","2417","-4.3","-35.5","5.2","9.9","88.3","1731","12.3","-24.3","16.6","13.3","79.5","2259","-11.1","-55.9","16.5",,,,,,,,,,,,,,,,,,,,,,,,
"Woodruff, Brandon","605540","2021",".252",".279","33.7","96.5","2356","-6.3","-12.7","17.9","8.6","86.5","2553","3.8","-39.2","5.4","14.2","86.5","1906","-14.7","-29.7","16.4","16.8","83.8","2644","4.5","-51.2","13.2","26.7","96.2","2288","-14","-16.8","19",,,,,,,,,,,,,,,,,,
"Rodón, Carlos","607074","2021",".247",".254","58.7","95.4","2293","7.9","-12.6","19.4","27.2","85.8","2453","-8.2","-38.2","8.8","12.4","85.2","1673","13.5","-26.2","18","1.7","76.7","2253","-6.6","-54.3","10.4",,,,,,,,,,,,,,,,,,,,,,,,
"Fedde, Erick","607200","2021",".340",".337","1.3","93.2","1850","-3.5","-22.4","9.6",,,,,,,"10.2","87.7","1546","-14.6","-34","14.9","23.4","79.7","2282","14.3","-44.5","14.7","42.2","93.8","1882","-10","-20.9","14.4","23","89.4","2051","3.2","-27.5","7.8",,,,,,,,,,,,
"Freeland, Kyle","607536","2021",".349",".314","25.3","91.4","2398","6.3","-19.6","14.4","22.7","86","2324","-2.5","-32","5.7","17.2","85.8","1543","10.9","-29.6","13.5","19.9","80.2","2437","-5.6","-51.6","11.1","14.8","91.3","2359","12.3","-26.2","14.1",,,,,,,,,,,,,,,,,,
"Means, John","607644","2021",".294",".309","47.9","92.8","2399","6.7","-11.9","21.3","8.4","86.3","2326","-3.4","-27.5","9.9","27.3","83.4","2256","12.8","-22.7","21.4","16.4","78","2278","-13.1","-52.3","15.1",,,,,,,,,,,,,,,,,,,,,,,,
"Fried, Max","608331","2021",".278",".288","39","94","2114","1.4","-18.1","13.1","21.6","84.7","2483","-8.8","-37.9","9.5","2.2","84.7","1411","11.8","-32.5","13.6","25.6","74.4","2650","-8.3","-65.3","17.6","11.3","93.5","1996","10.6","-20.8","15.1",,,,,,,,,,,,,"0.3","82.4","2564","-20","-44.6","20.5"
"Giolito, Lucas","608337","2021",".288",".280","43.9","93.8","2345","-6.7","-12","20.3","21.5","85.6","2028","2.7","-32.4","6.1","31.8","81.5","1492","-10.2","-28.2","16.7","2.9","80.6","2382","6.4","-52.4","12.4",,,,,,,,,,,,,,,,,,,,,,,,
