Season,Name,Team,IP,RS,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS/9,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Stf+ FA,Stuff+,Location+,Pitching+,K/9,BB/9,HR/9,vFA (sc),K/BB,FIP,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2023,"Luis Castillo","SEA",197,119,0.26720647773279355,0.918181818,0.18689788,0.389210019,0.4238921,0.113636363,0.127272727,5.436548223350254,0.3755,0.3563,0.2682,0.182,0.4847,0.3333,95.45453267744202,96.02040816326533,103.4849921507064,101.68593406593406,10.00507614213198,2.5583756345177666,1.2791878172588833,96.26001405481378,3.9107,3.8083393750456995,3.8070076063804827,3.7367730781842727,"Luis Castillo",15689,622491
2015,"Rick Porcello","BOS",172,83,0.3320388349514563,1.404624277,0.218045112,0.456766917,0.325187969,0.052023121,0.14450867,4.343023255813954,0.4185,0.3481,0.2333,0.1778,0.4944,0.3278,,,,,7.796511627906977,1.9883720930232558,1.308139534883721,91.49802192218351,3.9211,4.127785995394684,3.7224995866504518,3.728032504003607,"Rick Porcello",2717,519144
2021,"Walker Buehler","LAD",207.2,123,0.24714828897338403,1.259259259,0.198874296,0.44652908,0.354596622,0.116402116,0.1005291,5.3306493583787695,0.3853,0.3688,0.2459,0.1743,0.5193,0.3064,120.70712758374913,120.16354100445015,103.94246662428478,108.78080101716465,9.187785885986173,2.253607858826797,0.8234336407251758,95.34782608695652,4.0769,3.155584103546527,3.571943159589489,3.7279042027870424,"Walker Buehler",19374,621111
2015,"James Shields","SDP",202.1,133,0.29942418426103645,1.304812834,0.207720588,0.448529411,0.34375,0.101604278,0.176470588,5.9159901946403854,0.4422,0.3339,0.2238,0.1697,0.5181,0.3123,,,,,9.60792392513025,3.6029714719238437,1.4678772663393438,91.1201690821256,2.6667,4.453206784279033,3.696780981862965,3.7243781176271424,"James Shields",7059,448306
2020,"Zack Greinke","HOU",67,27,0.32105263157894737,1.23076923,0.252577319,0.412371134,0.335051546,0.076923076,0.092307692,3.626865671641791,0.3878,0.352,0.2602,0.1786,0.4898,0.3316,75.67914110429447,100.65337361530713,101.71218529707959,99.69798590130914,9,1.208955223880597,0.8059701492537313,87.0488720603272,7.4444,2.803360090682756,3.5098975373293038,3.7195348728971087,"Zack Greinke",1943,425844
2021,"Lucas Giolito","CHW",178.2,111,0.2694063926940639,0.784615384,0.245119305,0.331887201,0.422993492,0.133333333,0.138461538,5.591407245684795,0.443,0.3204,0.2366,0.1806,0.5183,0.3011,109.36405529953919,104.29578272604593,102.73208502024286,106.34905533063427,10.124980688131927,2.6193979889694536,1.3600720327341396,93.84946236559139,3.8654,3.7912977795125307,3.7523997147080985,3.7191105696267694,"Lucas Giolito",15474,608337
2016,"Jon Gray","COL",168,110,0.3082191780821918,1.361702127,0.244897959,0.435374149,0.319727891,0.085106382,0.127659574,5.892857142857143,0.3868,0.3165,0.2967,0.178,0.5165,0.3055,,,,,9.910714285714286,3.1607142857142856,0.9642857142857143,95.08571428571429,3.1356,3.6049032529195153,3.609959559373203,3.7166875592160884,"Jon Gray",14916,592351
2023,"George Kirby","SEA",190.2,89,0.29182156133828996,1.194174757,0.188509874,0.441651705,0.36983842,0.101941747,0.106796116,4.201041442503585,0.4071,0.2946,0.2982,0.1768,0.4964,0.3268,96.930845323741,105.60884329678109,109.64018394057311,108.93700035373192,8.118866607984456,0.8968515439052598,1.0384596824166166,96.11690647482014,9.0526,3.3442005624633593,3.6305149147823403,3.714904121601483,"George Kirby",25436,669923
2017,"Yu Darvish","- - -",186.2,88,0.2832618025751073,1.106145251,0.224279835,0.407407407,0.368312757,0.083798882,0.150837988,4.242856420303001,0.3976,0.359,0.2434,0.2049,0.4645,0.3306,,,,,10.076783998219627,2.796428095199705,1.3017854925929662,94.32791845431355,3.6034,3.827282914154403,3.6526708262521193,3.7100057907231214,"Yu Darvish",13074,506433
2022,"Pablo López","MIA",180,75,0.2833333333333333,1.385542168,0.206412825,0.460921843,0.33266533,0.102409638,0.126506024,3.75,0.4411,0.3293,0.2295,0.1756,0.5489,0.2754,96.83949211908934,95.00399724328044,103.33483804272922,101.50120606478289,8.7,2.65,1.05,93.52276707530648,3.283,3.7124298095703128,3.5609978851344852,3.709001716241546,"Pablo Lopez",17085,641154
2016,"Kyle Hendricks","CHC",190,110,0.25,1.54658385,0.20233463,0.484435797,0.313229571,0.093167701,0.093167701,5.2105263157894735,0.3767,0.3671,0.2562,0.2505,0.4914,0.2581,,,,,8.052631578947368,2.0842105263157893,0.7105263157894737,89.56381138392857,3.8636,3.204464656428287,3.5895248646014615,3.701385769630915,"Kyle Hendricks",12049,543294
2023,"Framber Valdez","HOU",198,104,0.28160919540229884,2.132352941,0.203738317,0.542056074,0.254205607,0.06617647,0.139705882,4.7272727272727275,0.4426,0.3111,0.2463,0.1093,0.5167,0.3741,,105.68949694085659,97.7709721278042,99.60200543847726,9.090909090909092,2.590909090909091,0.8636363636363636,,3.5088,3.4974641250841545,3.3856257241181655,3.699048435401804,"Framber Valdez",17295,664285
2016,"Kenta Maeda","LAD",175.2,110,0.28322440087145967,1.23076923,0.20464135,0.438818565,0.356540084,0.112426035,0.118343195,5.635662691542672,0.3862,0.3695,0.2443,0.2004,0.5094,0.2902,,,,,9.170760198055802,2.5616648597921237,1.0246659439168495,90.12339181286549,3.58,3.5792066514621848,3.7015189279261995,3.690514015938283,"Kenta Maeda",18498,628317
2021,"Joe Musgrove","SDP",181.1,80,0.2660753880266075,1.299363057,0.230277185,0.434968017,0.334754797,0.089171974,0.140127388,3.970595697232182,0.4313,0.3425,0.2262,0.186,0.5053,0.3087,84.35449826989621,114.19333358466714,99.96599413538688,103.82122812595813,10.075386581726663,2.680152095631723,1.0919138167388502,93.32491357928741,3.7593,3.6994430674007335,3.649835543999494,3.6899463723578316,"Joe Musgrove",12970,605397
2023,"Jesús Luzardo","MIA",178.2,83,0.3111111111111111,0.984293193,0.19017094,0.401709401,0.408119658,0.083769633,0.115183246,4.180962174701244,0.3835,0.3305,0.286,0.1631,0.464,0.3729,103.03784592370984,102.39504332755632,100.1739341421144,101.2749740034662,10.477591955877815,2.7705171037176917,1.1082068414870767,96.71345454545454,3.7818,3.551681107906453,3.7184181425037766,3.6897494978600673,"Jesus Luzardo",19959,666200
2015,"Yordano Ventura","KCR",163.1,100,0.30701754385964913,1.921259842,0.205567451,0.52248394,0.271948608,0.078740157,0.11023622,5.510215578178678,0.4681,0.3,0.2319,0.1468,0.5553,0.2979,,,,,8.595936301958737,3.1959250353436333,0.7714301809450149,96.51063701923077,2.6897,3.5682947333838193,3.601417028067494,3.68830436188145,"Yordano Ventura",11855,570649
2015,"Taijuan Walker","SEA",169.2,99,0.2905263157894737,0.989583333,0.223577235,0.386178861,0.390243902,0.098958333,0.130208333,5.251462929715791,0.406,0.33,0.264,0.168,0.53,0.302,,,,,8.32807757540787,2.121803203925572,1.3261270024534824,94.13462704669497,3.925,4.064835799494835,3.819227935863708,3.685100299726142,"Taijuan Walker",11836,592836
2019,"Jack Flaherty","STL",196.1,92,0.2422907488986784,1.033149171,0.221987315,0.395348837,0.382663847,0.127071823,0.138121546,4.217324807360044,0.3946,0.3319,0.2735,0.2359,0.3883,0.3758,,,,,10.589152505436633,2.521226787008722,1.1460121759130555,94.25389302640488,4.2,3.463585937521787,3.642092106375215,3.682375209543551,"Jack Flaherty",17479,656427
2021,"Sean Manaea","OAK",179.1,102,0.31752577319587627,1.171270718,0.221782178,0.41980198,0.358415841,0.099447513,0.138121546,5.118968835168774,0.3902,0.3804,0.2294,0.1529,0.5235,0.3235,,97.98242424242424,102.96501683501688,98.66457912457916,9.736077980615118,2.057624727861958,1.2546492243060718,,4.7317,3.6551613411681227,3.6236510167503444,3.679380773066718,"Sean Manaea",15873,640455
